@relation 'sysdev-weka.filters.unsupervised.attribute.Remove-R1-8,16-22-weka.filters.unsupervised.attribute.Remove-R4-7'

@attribute accelerationx-mean-1000 numeric
@attribute accelerationy-mean-1000 numeric
@attribute accelerationz-mean-1000 numeric
@attribute class {walking,sitting,standing}

@data
-6.210017,-7.699834,-1.352152,walking
-6.25006,-7.690442,-1.544922,walking
-6.341702,-7.520851,-1.748723,walking
-6.434091,-7.517424,-2.222222,walking
-6.440657,-7.339899,-2.366919,walking
-6.388636,-7.387121,-2.294192,walking
-6.474747,-7.337121,-2.071465,walking
-6.353535,-7.239141,-1.764394,walking
-6.421212,-7.251515,-1.618687,walking
-6.367172,-7.422222,-1.370707,walking
-6.396709,-7.89519,-1.151392,walking
-6.397475,-8.060354,-0.888384,walking
-6.583333,-8.068434,-0.511616,walking
-6.420202,-7.891414,-0.536111,walking
-6.413384,-7.818182,-0.74899,walking
-6.348485,-7.534091,-1.116162,walking
-6.308333,-7.557576,-1.541162,walking
-6.406582,-7.626076,-1.940759,walking
-6.527778,-7.513636,-1.983838,walking
-7.1,-8.4,0.9,walking
-7.1,-8.35,0.9,walking
-7.066667,-8.3,0.9,walking
-7.025,-8.225,0.9,walking
-6.98,-8.14,0.88,walking
-6.933333,-8.066667,0.816667,walking
-6.9,-7.971429,0.757143,walking
-6.875,-7.8875,0.6875,walking
-6.877778,-7.822222,0.622222,walking
-6.89,-7.76,0.57,walking
-6.881818,-7.7,0.518182,walking
-6.866667,-7.641667,0.475,walking
-6.853846,-7.584615,0.430769,walking
-6.85,-7.535714,0.4,walking
-6.853333,-7.5,0.373333,walking
-6.8625,-7.46875,0.35,walking
-6.870588,-7.447059,0.329412,walking
-6.872222,-7.427778,0.311111,walking
-6.873684,-7.415789,0.294737,walking
-6.87,-7.405,0.28,walking
-6.866667,-7.395238,0.271429,walking
-6.859091,-7.390909,0.263636,walking
-6.86087,-7.395652,0.26087,walking
-6.866667,-7.404167,0.2625,walking
-6.868,-7.412,0.264,walking
-6.865385,-7.419231,0.265385,walking
-6.859259,-7.425926,0.274074,walking
-6.85,-7.432143,0.285714,walking
-6.841379,-7.441379,0.303448,walking
-6.833333,-7.456667,0.323333,walking
-6.829032,-7.474194,0.348387,walking
-6.821875,-7.49375,0.378125,walking
-6.815152,-7.512121,0.409091,walking
-6.808824,-7.532353,0.438235,walking
-6.805714,-7.554286,0.468571,walking
-6.802778,-7.575,0.5,walking
-6.797297,-7.591892,0.532432,walking
-6.792105,-7.607895,0.560526,walking
-6.787179,-7.623077,0.587179,walking
-6.785,-7.6375,0.6125,walking
-6.782927,-7.65122,0.634146,walking
-6.780952,-7.664286,0.654762,walking
-6.77907,-7.676744,0.672093,walking
-6.779545,-7.688636,0.688636,walking
-6.782222,-7.697778,0.702222,walking
-6.784783,-7.708696,0.715217,walking
-6.785106,-7.719149,0.72766,walking
-6.783333,-7.727083,0.7375,walking
-6.779592,-7.732653,0.744898,walking
-6.774,-7.738,0.752,walking
-6.768627,-7.743137,0.754902,walking
-6.763462,-7.748077,0.757692,walking
-6.758491,-7.75283,0.758491,walking
-6.755556,-7.757407,0.757407,walking
-6.764286,-7.667857,0.590476,walking
-6.643532,-7.44801,-0.459701,walking
-6.716339,-7.378256,-0.480467,walking
-6.72363,-7.301717,-0.894358,walking
-6.602819,-7.334804,-1.084436,walking
-6.619951,-7.442157,-0.998431,walking
-6.584131,-7.388539,-1.114484,walking
-6.578365,-7.39744,-1.099876,walking
-6.579245,-7.411332,-1.070674,walking
-6.570737,-7.457326,-1.063971,walking
-6.570631,-7.444847,-1.12664,walking
-6.562713,-7.492046,-1.180782,walking
-6.474031,-7.513732,-1.371152,walking
-6.386043,-7.576274,-1.333357,walking
-6.370255,-7.615203,-1.311709,walking
-6.222767,-7.432709,-1.795101,walking
-6.121212,-7.689141,-1.583081,walking
-6.312374,-7.706313,-1.759596,walking
-6.208586,-7.723737,-1.836869,walking
-6.29899,-7.443939,-1.809343,walking
-6.25869,-7.517632,-1.636524,walking
-6.252273,-7.352778,-1.500505,walking
-6.417677,-7.500253,-1.298232,walking
-6.487626,-7.712626,-1.099495,walking
-6.639646,-7.888384,-0.860101,walking
-6.650505,-7.892172,-0.868687,walking
-6.541414,-8.036869,-1.12803,walking
-6.408081,-7.892424,-1.242424,walking
-6.469192,-7.536869,-1.545202,walking
-6.30404,-7.359343,-1.934848,walking
-6.258987,-7.434177,-2.583797,walking
-6.320455,-7.429293,-2.886616,walking
-6.446465,-7.195202,-2.883081,walking
-5.5,-8.4,0.6,walking
-5.55,-8.4,0.65,walking
-5.566667,-8.433333,0.7,walking
-5.575,-8.475,0.725,walking
-5.58,-8.52,0.76,walking
-5.583333,-8.566667,0.8,walking
-5.614286,-8.614286,0.814286,walking
-5.65,-8.6625,0.8125,walking
-5.688889,-8.711111,0.8,walking
-5.72,-8.77,0.77,walking
-5.754545,-8.818182,0.736364,walking
-5.825,-8.883333,0.708333,walking
-5.9,-8.946154,0.684615,walking
-5.95,-8.992857,0.664286,walking
-5.986667,-9.026667,0.64,walking
-6.0125,-9.05625,0.6,walking
-6.023529,-9.082353,0.558824,walking
-6.033333,-9.111111,0.511111,walking
-6.036842,-9.131579,0.463158,walking
-6.025,-9.14,0.41,walking
-6.014286,-9.142857,0.347619,walking
-6.004545,-9.136364,0.281818,walking
-5.995652,-9.126087,0.213043,walking
-5.9875,-9.1125,0.141667,walking
-5.984,-9.096,0.068,walking
-5.980769,-9.073077,-0.007692,walking
-5.985185,-9.048148,-0.085185,walking
-5.989286,-9.017857,-0.164286,walking
-5.996552,-8.986207,-0.244828,walking
-6.006667,-8.95,-0.32,walking
-6.016129,-8.912903,-0.393548,walking
-6.028125,-8.875,-0.4625,walking
-6.042424,-8.839394,-0.524242,walking
-6.071429,-8.765714,-0.631429,walking
-6.088889,-8.730556,-0.677778,walking
-6.105405,-8.694595,-0.718919,walking
-6.123684,-8.660526,-0.757895,walking
-6.14359,-8.628205,-0.792308,walking
-6.1625,-8.595,-0.8225,walking
-6.180488,-8.563415,-0.85122,walking
-6.197619,-8.530952,-0.87381,walking
-6.209302,-8.5,-0.893023,walking
-6.220455,-8.468182,-0.909091,walking
-6.228889,-8.437778,-0.922222,walking
-6.234783,-8.406522,-0.930435,walking
-6.233333,-8.347917,-0.94375,walking
-6.230612,-8.318367,-0.946939,walking
-6.224,-8.29,-0.946,walking
-6.215686,-8.262745,-0.943137,walking
-6.205769,-8.238462,-0.936538,walking
-6.19434,-8.215094,-0.928302,walking
-6.171429,-7.72449,-0.74898,walking
-6.381195,-7.526991,-1.996681,walking
-6.445455,-7.735664,-1.350699,walking
-6.426793,-7.564618,-1.472813,walking
-6.399167,-7.55994,-1.678155,walking
-6.452408,-7.425799,-1.650358,walking
-6.508604,-7.412822,-1.650274,walking
-6.493444,-7.426639,-1.630954,walking
-6.492735,-7.430204,-1.599592,walking
-6.490518,-7.450864,-1.564444,walking
-6.516138,-7.468876,-1.587032,walking
-6.522107,-7.492017,-1.463439,walking
-6.50459,-7.428973,-1.66615,walking
-6.512183,-7.449601,-1.672009,walking
-6.548654,-7.332303,-1.487737,walking
-6.436349,-7.524603,-1.617619,walking
-6.122475,-7.62702,-1.853788,walking
-6.397222,-7.584596,-1.899242,walking
-6.328535,-7.566919,-2.116162,walking
-6.380051,-7.449747,-2.399495,walking
