% Group: LeisterMeierMulterer
% Date: 2018-05-23 21:44

@RELATION sysdev

@ATTRIBUTE timestamp     NUMERIC
@ATTRIBUTE accelerationx NUMERIC
@ATTRIBUTE accelerationy NUMERIC
@ATTRIBUTE accelerationz NUMERIC

@Data
1527104703922,3.2,-1.4,-9.3
1527104703925,3.2,-1.4,-9.3
1527104703927,3.2,-1.5,-9.3
1527104703930,3.2,-1.5,-9.2
1527104703933,3.2,-1.5,-9.3
1527104703935,3.2,-1.4,-9.3
1527104703937,3.3,-1.4,-9.3
1527104703940,3.3,-1.4,-9.3
1527104703943,3.3,-1.4,-9.3
1527104703945,3.3,-1.4,-9.3
1527104703948,3.3,-1.4,-9.3
1527104703950,3.3,-1.4,-9.3
1527104703955,3.3,-1.5,-9.2
1527104703956,3.3,-1.4,-9.3
1527104703958,3.3,-1.4,-9.2
1527104703961,3.3,-1.4,-9.3
1527104703963,3.3,-1.4,-9.3
1527104703966,3.3,-1.3,-9.3
1527104703968,3.3,-1.4,-9.3
1527104703971,3.3,-1.4,-9.3
1527104703973,3.3,-1.4,-9.3
1527104703976,3.3,-1.4,-9.3
1527104703978,3.3,-1.4,-9.3
1527104703981,3.3,-1.4,-9.3
1527104703983,3.3,-1.4,-9.3
1527104703986,3.3,-1.5,-9.3
1527104703988,3.3,-1.5,-9.3
1527104703991,3.3,-1.5,-9.3
1527104703993,3.3,-1.5,-9.3
1527104703996,3.3,-1.5,-9.3
1527104703999,3.3,-1.5,-9.3
1527104704001,3.3,-1.5,-9.3
1527104704004,3.3,-1.5,-9.3
1527104704006,3.3,-1.5,-9.3
1527104704009,3.3,-1.5,-9.3
1527104704011,3.3,-1.5,-9.3
1527104704013,3.3,-1.5,-9.3
1527104704016,3.4,-1.5,-9.3
1527104704019,3.3,-1.5,-9.2
1527104704021,3.3,-1.5,-9.3
1527104704024,3.3,-1.4,-9.3
1527104704026,3.3,-1.5,-9.3
1527104704029,3.3,-1.5,-9.3
1527104704031,3.3,-1.5,-9.3
1527104704034,3.3,-1.5,-9.2
1527104704036,3.3,-1.5,-9.2
1527104704039,3.3,-1.5,-9.3
1527104704042,3.3,-1.5,-9.3
1527104704044,3.3,-1.5,-9.3
1527104704047,3.3,-1.5,-9.3
1527104704050,3.3,-1.5,-9.2
1527104704051,3.3,-1.5,-9.2
1527104704055,3.3,-1.5,-9.2
1527104704058,3.3,-1.5,-9.2
1527104704060,3.3,-1.5,-9.2
1527104704062,3.3,-1.5,-9.2
1527104704064,3.3,-1.5,-9.3
1527104704067,3.3,-1.6,-9.3
1527104704070,3.3,-1.6,-9.3
1527104704072,3.3,-1.6,-9.3
1527104704075,3.3,-1.6,-9.3
1527104704077,3.4,-1.6,-9.3
1527104704080,3.4,-1.6,-9.3
1527104704082,3.4,-1.6,-9.2
1527104704084,3.4,-1.6,-9.2
1527104704087,3.4,-1.5,-9.2
1527104704090,3.4,-1.5,-9.3
1527104704093,3.4,-1.5,-9.2
1527104704094,3.4,-1.5,-9.3
1527104704097,3.4,-1.5,-9.3
1527104704100,3.4,-1.6,-9.3
1527104704102,3.3,-1.8,-9.3
1527104704105,3.4,-1.6,-9.2
1527104704107,3.4,-1.4,-9.3
1527104704110,3.4,-1.4,-9.3
1527104704112,3.3,-1.5,-9.4
1527104704115,3.3,-1.5,-9.3
1527104704118,3.3,-1.5,-9.3
1527104704120,3.3,-1.5,-9.3
1527104704123,3.3,-1.6,-9.3
1527104704125,3.3,-1.6,-9.3
1527104704127,3.3,-1.6,-9.3
1527104704130,3.3,-1.6,-9.3
1527104704133,3.3,-1.7,-9.2
1527104704135,3.3,-1.7,-9.3
1527104704138,3.2,-1.7,-9.3
1527104704140,3.2,-1.6,-9.3
1527104704143,3.2,-1.6,-9.3
1527104704145,3.2,-1.6,-9.3
1527104704148,3.2,-1.7,-9.3
1527104704151,3.2,-1.6,-9.3
1527104704153,3.2,-1.6,-9.3
1527104704155,3.2,-1.6,-9.3
1527104704158,3.2,-1.6,-9.3
1527104704161,3.2,-1.7,-9.2
1527104704163,3.1,-1.6,-9.3
1527104704165,3.2,-1.6,-9.3
1527104704168,3.1,-1.6,-9.3
